Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
WNT2,"INT1L1, IRP",ENSG00000105989,Wnt family member 2,7,117276631-117323289,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,HPA020920,NA,NA,Approved,Vesicles,NA,Mixed,Group enriched,6,endometrium: 23.8;placenta: 93.2,lung: 9.2,Cell line enriched,6,U-2197: 19.1
WNT2B,"WNT13, XWNT2",ENSG00000134245,Wnt family member 2B,1,112466541-112530165,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA047274, HPA060696, HPA066368",Uncertain,NA,Approved,Nucleoplasm<br>Vesicles,NA,Tissue enhanced,Mixed,NA,NA,seminal vesicle: 20.0,Cell line enhanced,NA,HSkMC: 6.3
WNT4,WNT-4,ENSG00000162552,Wnt family member 4,1,22117305-22143969,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA011397,Uncertain,NA,Approved,Vesicles,"Pancreatic cancer:4.90e-4 (favourable), Melanoma:5.34e-4 (unfavourable)",Mixed,Tissue enhanced,NA,skin: 49.2,ovary: 15.3,Cell line enhanced,NA,HaCaT: 7.6;SCLC-21H: 12.2;SK-BR-3: 6.6
WNT5B,NA,ENSG00000111186,Wnt family member 5B,12,1529891-1647243,Predicted secreted proteins,Evidence at protein level,HPA061991,NA,NA,Approved,Vesicles,NA,Expressed in all,Tissue enhanced,NA,prostate: 34.7,seminal vesicle: 27.9,Cell line enhanced,NA,BJ: 195.3;BJ hTERT+ SV40 Large T+: 154.0;BJ hTERT+ SV40 Large T+ RasG12V: 132.9;HBF TERT88: 139.5;hTEC/SVTERT24-B: 144.8;U-138 MG: 140.4
XAB2,"HCNP, HCRN, NTC90, SYF1",ENSG00000076924,XPA binding protein 2,19,7619525-7629565,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA048751,NA,NA,Approved,Nucleus<br>Vesicles,"Cervical cancer:4.04e-4 (favourable), Endometrial cancer:4.96e-4 (favourable), Pancreatic cancer:7.47e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,testis: 39.3,Expressed in all,NA,NA
XAGE5,"CT12.5, GAGED5, XAGE-5",ENSG00000171405,X antigen family member 5,X,52812204-52818301,Predicted intracellular proteins,Evidence at transcript level,"HPA052507, HPA055941, HPA059045",Uncertain,NA,Approved,Nucleoplasm<br>Vesicles,NA,Tissue enhanced,Tissue enriched,10,testis: 2.1,skin: 0.2,Cell line enriched,47,U-2 OS: 22.9
XK,"Kx, NA, NAC, X1k, XKR1",ENSG00000047597,X-linked Kx blood group,X,37685759-37732130,"Blood group antigen proteins, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA019036,Approved,NA,Approved,Nucleoplasm<br>Vesicles<br>Mitochondria,NA,Mixed,Mixed,NA,NA,rectum: 12.1,Cell line enhanced,NA,HEL: 39.5;K-562: 25.8
XPO1,"CRM1, emb",ENSG00000082898,Exportin 1,2,61477849-61538626,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,"CAB010184, HPA042933",Supported,NA,Enhanced,Nucleoplasm<br>Nuclear membrane<br>Vesicles<br>Cytosol,"Liver cancer:1.84e-5 (unfavourable), Renal cancer:3.74e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,testis: 139.1,Expressed in all,NA,NA
XRCC2,FANCU,ENSG00000196584,X-ray repair cross complementing 2,7,152644779-152676165,"Cancer-related genes, Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA065153,NA,NA,Approved,Nucleoplasm<br>Vesicles,NA,Mixed,Mixed,NA,NA,testis: 3.7,Mixed,NA,NA
YBX1,"BP-8, CSDA2, CSDB, DBPB, MDR-NF1, NSEP-1, NSEP1, YB-1, YB1",ENSG00000065978,Y-box binding protein 1,1,42682427-42702349,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"CAB005875, HPA040304, HPA057159",Supported,NA,Enhanced,Vesicles<br>Cytosol,"Liver cancer:9.87e-10 (unfavourable), Renal cancer:3.59e-7 (unfavourable)",Expressed in all,Expressed in all,NA,NA,testis: 1542.9,Expressed in all,NA,NA
YIF1A,"54TM, FinGER7, YIF1, YIF1P",ENSG00000174851,"Yip1 interacting factor homolog A, membrane trafficking protein",11,66284580-66289170,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA014840,Approved,NA,Supported,Golgi apparatus<br>Vesicles<br>Microtubule organizing center,Urothelial cancer:8.70e-4 (unfavourable),Expressed in all,Expressed in all,NA,NA,parathyroid gland: 62.3,Expressed in all,NA,NA
YIF1B,FinGER8,ENSG00000167645,"Yip1 interacting factor homolog B, membrane trafficking protein",19,38305104-38317273,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA039328, HPA055257, HPA062675",Approved,NA,Approved,Golgi apparatus<br>Vesicles,"Liver cancer:4.53e-5 (unfavourable), Pancreatic cancer:1.88e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,cerebral cortex: 49.5,Expressed in all,NA,NA
YIPF5,"FinGER5, SMAP-5",ENSG00000145817,Yip1 domain family member 5,5,144158159-144170714,Predicted membrane proteins,Evidence at protein level,"HPA042338, HPA073622",Enhanced,NA,Supported,Nucleoplasm<br>Endoplasmic reticulum<br>Golgi apparatus<br>Vesicles,"Head and neck cancer:1.12e-5 (unfavourable), Liver cancer:3.26e-5 (unfavourable), Breast cancer:7.83e-5 (unfavourable)",Expressed in all,Expressed in all,NA,NA,placenta: 43.2,Expressed in all,NA,NA
YIPF6,"FinGER6, MGC21416",ENSG00000181704,Yip1 domain family member 6,X,68498323-68537285,Predicted membrane proteins,Evidence at protein level,HPA003720,Uncertain,NA,Approved,Vesicles,NA,Expressed in all,Expressed in all,NA,NA,thyroid gland: 32.8,Mixed,NA,NA
YY1,"DELTA, INO80S, NF-E1, UCRBP, YIN-YANG-1",ENSG00000100811,YY1 transcription factor,14,100238298-100282792,"Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA001119, CAB009392",Supported,NA,Supported,Nucleoplasm<br>Nucleoli fibrillar center<br>Vesicles,"Liver cancer:3.44e-4 (unfavourable), Endometrial cancer:6.13e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,thyroid gland: 65.8,Expressed in all,NA,NA
ZADH2,MGC45594,ENSG00000180011,Zinc binding alcohol dehydrogenase domain containing 2,18,75195108-75209348,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA021468, HPA053646",Uncertain,NA,Approved,Nucleus<br>Golgi apparatus<br>Vesicles,"Renal cancer:1.02e-6 (favourable), Thyroid cancer:1.94e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,placenta: 52.3,Expressed in all,NA,NA
ZBED6CL,C7orf29,ENSG00000188707,ZBED6 C-terminal like,7,150329789-150332721,Predicted intracellular proteins,Evidence at transcript level,"HPA019724, HPA055805",Approved,NA,Approved,Nuclear membrane<br>Vesicles,"Renal cancer:1.38e-5 (unfavourable), Pancreatic cancer:2.44e-5 (favourable), Glioma:5.65e-5 (unfavourable), Breast cancer:9.48e-5 (favourable)",Expressed in all,Tissue enhanced,NA,adrenal gland: 31.7;parathyroid gland: 30.4,lymph node: 9.8,Cell line enhanced,NA,HDLM-2: 80.9;K-562: 33.8
ZBTB39,"KIAA0352, ZNF922",ENSG00000166860,Zinc finger and BTB domain containing 39,12,56998834-57006446,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA016866, HPA020306",Uncertain,NA,Approved,Vesicles,NA,Expressed in all,Mixed,NA,NA,testis: 13.4,Expressed in all,NA,NA
ZC3H10,"FLJ14451, ZC3HDC10",ENSG00000135482,Zinc finger CCCH-type containing 10,12,56118159-56127514,Predicted intracellular proteins,Evidence at protein level,"HPA039236, HPA062265",Uncertain,NA,Approved,Vesicles,NA,Expressed in all,Mixed,NA,NA,testis: 10.3,Expressed in all,NA,NA
ZC3H12B,"CXorf32, MCPIP2",ENSG00000102053,Zinc finger CCCH-type containing 12B,X,65366638-65507887,Predicted intracellular proteins,Evidence at transcript level,HPA000836,Uncertain,NA,Approved,Endoplasmic reticulum<br>Golgi apparatus<br>Vesicles,NA,Mixed,Tissue enhanced,NA,cerebral cortex: 4.6,endometrium: 2.2,Cell line enhanced,NA,AF22: 2.1
ZC4H2,"HCA127, KIAA1166, WWS",ENSG00000126970,Zinc finger C4H2-type containing,X,64915802-65034713,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA049584,Approved,NA,Approved,Vesicles<br>Microtubules,Thyroid cancer:3.51e-5 (unfavourable),Mixed,Mixed,NA,NA,parathyroid gland: 17.5,Cell line enhanced,NA,NTERA-2: 51.9;REH: 36.2
ZCCHC3,"C20orf99, dJ1103G7.7",ENSG00000247315,Zinc finger CCHC-type containing 3,20,296968-300321,Predicted intracellular proteins,Evidence at protein level,HPA042972,NA,NA,Approved,Vesicles,Pancreatic cancer:1.29e-4 (favourable),Expressed in all,Expressed in all,NA,NA,placenta: 23.2,Expressed in all,NA,NA
ZDHHC13,"FLJ10852, FLJ10941, HIP14L",ENSG00000177054,Zinc finger DHHC-type containing 13,11,19117099-19176422,"Enzymes, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA016759, HPA018791",Uncertain,NA,Enhanced,Vesicles,NA,Expressed in all,Mixed,NA,NA,esophagus: 40.4,Expressed in all,NA,NA
ZDHHC17,"HIP14, HYPH, KIAA0946",ENSG00000186908,Zinc finger DHHC-type containing 17,12,76763588-76853696,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA016807, HPA058674",Approved,NA,Supported,Golgi apparatus<br>Vesicles<br>Aggresome,Renal cancer:7.11e-5 (unfavourable),Expressed in all,Expressed in all,NA,NA,cerebral cortex: 45.2,Expressed in all,NA,NA
ZDHHC24,NA,ENSG00000174165,Zinc finger DHHC-type containing 24,11,66520637-66546238,"Enzymes, Predicted membrane proteins",Evidence at protein level,HPA016619,Approved,NA,Approved,Vesicles<br>Cytosol,Glioma:2.39e-4 (unfavourable),Expressed in all,Mixed,NA,NA,parathyroid gland: 10.9,Expressed in all,NA,NA
ZFAND3,"FLJ13222, TEX27",ENSG00000156639,Zinc finger AN1-type containing 3,6,37819499-38154624,Predicted intracellular proteins,Evidence at protein level,HPA016755,Approved,NA,Approved,Nucleoplasm<br>Vesicles,NA,Expressed in all,Expressed in all,NA,NA,testis: 185.0,Expressed in all,NA,NA
ZFP36,"G0S24, NUP475, RNF162A, TIS11, TTP",ENSG00000128016,ZFP36 ring finger protein,19,39406813-39409412,Predicted intracellular proteins,Evidence at transcript level,HPA006009,Approved,NA,Approved,Vesicles<br>Intermediate filaments,NA,Expressed in all,Expressed in all,NA,NA,gallbladder: 928.0,Expressed in all,NA,NA
ZFP37,ZNF906,ENSG00000136866,ZFP37 zinc finger protein,9,113038380-113056759,"Predicted intracellular proteins, Transcription factors",Evidence at transcript level,HPA049112,Uncertain,NA,Approved,Nucleus<br>Vesicles,Glioma:9.22e-5 (favourable),Mixed,Mixed,NA,NA,ovary: 8.8,Mixed,NA,NA
ZFYVE16,"KIAA0305, PPP1R69",ENSG00000039319,Zinc finger FYVE-type containing 16,5,80408013-80479350,Predicted intracellular proteins,Evidence at protein level,"HPA035935, HPA035936",Supported,NA,Enhanced,Vesicles<br>Cytosol,NA,Expressed in all,Mixed,NA,NA,"cervix, uterine: 24.0",Expressed in all,NA,NA
ZFYVE9,"MADHIP, PPP1R173, SARA, SMADIP",ENSG00000157077,Zinc finger FYVE-type containing 9,1,52142094-52346686,Predicted intracellular proteins,Evidence at protein level,"CAB017702, HPA065852, HPA065862",Approved,NA,Enhanced,Vesicles<br>Cytosol,NA,Expressed in all,Mixed,NA,NA,parathyroid gland: 45.2,Mixed,NA,NA
ZG16B,"HRPE773, JCLN2, PRO1567",ENSG00000162078,Zymogen granule protein 16B,16,2830169-2839585,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA041125, HPA053549",Enhanced,NA,Approved,Nucleoplasm<br>Vesicles,Endometrial cancer:3.48e-6 (favourable),Tissue enhanced,Tissue enriched,225,salivary gland: 19471.0,prostate: 86.7,Cell line enhanced,NA,MCF7: 20.7;SK-BR-3: 18.1;T-47d: 20.8
ZGLP1,"GATAD3, GLP-1, GLP1",ENSG00000220201,"Zinc finger, GATA-like protein 1",19,10304803-10309880,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA049855,Uncertain,NA,Approved,Nucleus<br>Vesicles,NA,Mixed,Mixed,NA,NA,testis: 3.1,Cell line enhanced,NA,NB-4: 20.8
ZIC5,NA,ENSG00000139800,Zic family member 5,13,99962964-99971909,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA074045,NA,NA,Uncertain,Nucleoplasm<br>Vesicles,NA,Mixed,Group enriched,45,cerebral cortex: 2.3;testis: 6.6,all non-specific tissues: 0.0,Cell line enhanced,NA,AF22: 21.7;NTERA-2: 15.0;SCLC-21H: 100.6
ZMIZ1,"FLJ13541, hZIMP10, KIAA1224, MIZ, RAI17, RP11-519K18.1, Zimp10",ENSG00000108175,Zinc finger MIZ-type containing 1,10,79069035-79316528,Predicted intracellular proteins,Evidence at protein level,HPA045144,Approved,NA,Approved,Nucleoplasm<br>Vesicles,Renal cancer:3.64e-7 (favourable),Expressed in all,Expressed in all,NA,NA,cerebral cortex: 65.3,Mixed,NA,NA
ZMYND19,MIZIP,ENSG00000165724,Zinc finger MYND-type containing 19,9,137582079-137590490,Predicted intracellular proteins,Evidence at protein level,"HPA020642, HPA050761",Supported,NA,Approved,Golgi apparatus<br>Vesicles,Liver cancer:1.70e-4 (unfavourable),Expressed in all,Expressed in all,NA,NA,testis: 46.1,Expressed in all,NA,NA
ZNF132,pHZ-12,ENSG00000131849,Zinc finger protein 132,19,58432814-58440222,"Cancer-related genes, Predicted intracellular proteins, Transcription factors",Evidence at transcript level,HPA008726,Uncertain,NA,Approved,Vesicles<br>Intermediate filaments,"Renal cancer:7.26e-13 (favourable), Pancreatic cancer:1.92e-4 (favourable)",Mixed,Mixed,NA,NA,parathyroid gland: 11.6,Mixed,NA,NA
ZNF133,"pHZ-13, pHZ-66, ZNF150",ENSG00000125846,Zinc finger protein 133,20,18288283-18316996,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA001493,Enhanced,NA,Approved,Nucleus<br>Vesicles,"Liver cancer:4.46e-6 (unfavourable), Renal cancer:2.20e-5 (unfavourable)",Expressed in all,Expressed in all,NA,NA,epididymis: 20.1,Mixed,NA,NA
ZNF143,"pHZ-1, SBF, STAF",ENSG00000166478,Zinc finger protein 143,11,9460319-9528524,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA003263, HPA074818",Supported,NA,Approved,Nucleoplasm<br>Nuclear bodies<br>Vesicles,"Liver cancer:1.76e-5 (unfavourable), Renal cancer:6.78e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,testis: 31.1,Expressed in all,NA,NA
ZNF213,"CR53, ZKSCAN21, ZSCAN53",ENSG00000085644,Zinc finger protein 213,16,3129777-3142805,"Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at transcript level,"HPA035000, HPA056750",Uncertain,NA,Approved,Nucleus<br>Nuclear membrane<br>Vesicles<br>Cytosol,Liver cancer:6.74e-4 (unfavourable),Expressed in all,Mixed,NA,NA,testis: 16.3,Expressed in all,NA,NA
ZNF215,"ZKSCAN11, ZSCAN43",ENSG00000149054,Zinc finger protein 215,11,6926404-7001004,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA047243, HPA051010",Enhanced,NA,Approved,Nucleoplasm<br>Vesicles,NA,Mixed,Mixed,NA,NA,lymph node: 4.5,Cell line enhanced,NA,U-698: 14.5
ZNF232,ZSCAN11,ENSG00000167840,Zinc finger protein 232,17,5105541-5123116,"Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA027309, HPA028611",Uncertain,NA,Supported,Nucleus<br>Vesicles<br>Cytosol,"Liver cancer:4.66e-4 (unfavourable), Pancreatic cancer:6.55e-4 (favourable)",Expressed in all,Mixed,NA,NA,ovary: 4.3,Mixed,NA,NA
ZNF266,HZF1,ENSG00000174652,Zinc finger protein 266,19,9412598-9435578,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA026836, HPA054110",Uncertain,NA,Enhanced,Nucleus<br>Vesicles<br>Rods & Rings,"Head and neck cancer:3.94e-6 (favourable), Pancreatic cancer:3.03e-5 (favourable), Urothelial cancer:9.15e-5 (favourable), Cervical cancer:1.41e-4 (favourable), Renal cancer:1.82e-4 (unfavourable), Lung cancer:4.47e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,epididymis: 117.7,Mixed,NA,NA
ZNF302,"ZNF135L, ZNF140L, ZNF327",ENSG00000089335,Zinc finger protein 302,19,34677639-34686397,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA059503,NA,NA,Approved,Vesicles<br>Cytokinetic bridge,"Endometrial cancer:2.03e-5 (unfavourable), Urothelial cancer:9.85e-5 (favourable), Renal cancer:5.41e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 42.1,Mixed,NA,NA
ZNF326,"FLJ20403, ZAN75, Zfp326, ZIRD",ENSG00000162664,Zinc finger protein 326,1,89995112-90035531,Predicted intracellular proteins,Evidence at protein level,"HPA028450, HPA028461, HPA028466",Supported,NA,Enhanced,Nucleoplasm<br>Golgi apparatus<br>Vesicles,"Urothelial cancer:2.84e-4 (favourable), Breast cancer:9.46e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,bone marrow: 29.5,Expressed in all,NA,NA
ZNF341,dJ553F4.3,ENSG00000131061,Zinc finger protein 341,20,33731657-33792269,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA023240, HPA024607, HPA067108",Uncertain,NA,Approved,Nucleoplasm<br>Vesicles,"Liver cancer:1.87e-4 (unfavourable), Head and neck cancer:3.93e-4 (favourable)",Expressed in all,Mixed,NA,NA,testis: 2.3,Mixed,NA,NA
ZNF365,"KIAA0844, UAN",ENSG00000138311,Zinc finger protein 365,10,62374192-62672011,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA052446,Enhanced,NA,Supported,Vesicles<br>Microtubule organizing center,NA,Mixed,Tissue enhanced,NA,cerebral cortex: 54.5,parathyroid gland: 10.9,Cell line enhanced,NA,HaCaT: 18.7;PC-3: 12.7;U-251 MG: 14.7
ZNF37A,"KOX21, ZNF37",ENSG00000075407,Zinc finger protein 37A,10,38094334-38150293,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA003172,Approved,NA,Approved,Vesicles,"Renal cancer:2.31e-4 (unfavourable), Liver cancer:2.83e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 18.1,Expressed in all,NA,NA
ZNF442,FLJ14356,ENSG00000198342,Zinc finger protein 442,19,12345949-12365905,"Predicted intracellular proteins, Transcription factors",Evidence at transcript level,"HPA045738, HPA053407",Uncertain,NA,Approved,Nuclear membrane<br>Vesicles,NA,Mixed,Mixed,NA,NA,ovary: 6.0,Mixed,NA,NA
ZNF469,KIAA1858,ENSG00000225614,Zinc finger protein 469,16,88427471-88440757,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA069784,NA,NA,Approved,Vesicles,NA,Mixed,Mixed,NA,NA,"cervix, uterine: 2.2",Cell line enhanced,NA,SiHa: 5.3;THP-1: 4.3
ZNF526,"KIAA1951, MGC4267",ENSG00000167625,Zinc finger protein 526,19,42220271-42228201,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA023070, HPA056609",Uncertain,NA,Approved,Nucleus<br>Golgi apparatus<br>Vesicles,NA,Expressed in all,Mixed,NA,NA,skin: 6.2,Expressed in all,NA,NA
ZNF530,KIAA1508,ENSG00000183647,Zinc finger protein 530,19,57599885-57612722,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA045868,Uncertain,NA,Approved,Vesicles,NA,Mixed,Mixed,NA,NA,spleen: 3.1,Cell line enhanced,NA,HEK93: 68.7;U-266/84: 40.3
ZNF540,DKFZp547B0714,ENSG00000171817,Zinc finger protein 540,19,37551406-37614097,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA003444,Supported,NA,Supported,Nucleoplasm<br>Vesicles<br>Cytosol,NA,Mixed,Mixed,NA,NA,thyroid gland: 13.3,Mixed,NA,NA
ZNF550,MGC41917,ENSG00000251369,Zinc finger protein 550,19,57535257-57559863,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA003251,Uncertain,NA,Approved,Vesicles<br>Microtubules,Prostate cancer:2.21e-4 (unfavourable),Expressed in all,Mixed,NA,NA,ovary: 12.7,Mixed,NA,NA
ZNF569,"FLJ32053, ZAP1",ENSG00000196437,Zinc finger protein 569,19,37411155-37469275,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA052994,Uncertain,NA,Approved,Nucleoplasm<br>Golgi apparatus<br>Vesicles,NA,Mixed,Mixed,NA,NA,testis: 20.5,Mixed,NA,NA
ZNF586,FLJ20070,ENSG00000083828,Zinc finger protein 586,19,57769655-57819939,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA030306, HPA060782",Approved,NA,Approved,Nucleoli fibrillar center<br>Vesicles,"Breast cancer:9.83e-5 (favourable), Urothelial cancer:5.36e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,bone marrow: 16.3,Mixed,NA,NA
